2023-03-15 19:55:07,596 - INFO  Begin : logging开始运行...
2023-03-15 19:55:07,597 - INFO  FileInit_Mode2 : FileMode 为 读入文件
2023-03-15 19:55:07,597 - INFO  FileInit_Mode2 : 用户选择的路径为:['../../In/Files/1.txt', '../../In/Files/2.txt', '../../In/Files/3.txt']
2023-03-15 19:55:07,597 - INFO  Begin : File开始运行...
2023-03-15 19:55:07,597 - INFO  KeyWordInit_Mode2 : KeyWordMode 为 文件读入
2023-03-15 19:55:07,597 - INFO  KeyWordInit_Mode2 : 用户最后选择的关键词为:['树', '1', '你好']
2023-03-15 19:55:07,597 - INFO  Begin : KeyWord开始运行...
2023-03-15 19:55:07,597 - INFO  Begin : 程序开始运行
2023-03-15 19:55:07,597 - INFO  ParameterInvaild : path: ['../../In/Files/1.txt', '../../In/Files/2.txt', '../../In/Files/3.txt'] , fstr: ['树', '1', '你好']
2023-03-15 19:55:07,597 - INFO  Run : 参数校验通过
2023-03-15 19:55:07,597 - INFO  Run : 创建一个存储答案的文档:../../out/File_Filter_ans.txt
2023-03-15 19:55:07,597 - INFO  Run : 打开的文件路径:/home/ljy/LJY/code-dir/Home_care/File_Filter/In/Files/1.txt
2023-03-15 19:55:07,597 - INFO  MatchWord : 传入的关键词集合： Keyword: ['树', '1', '你好']
2023-03-15 19:55:07,597 - INFO  MatchWord : 添加关键词:树 其出现次数：22
2023-03-15 19:55:07,597 - INFO  MatchWord : 添加关键词:1 其出现次数：122
2023-03-15 19:55:07,597 - INFO  Run : 打开的文件路径:/home/ljy/LJY/code-dir/Home_care/File_Filter/In/Files/2.txt
2023-03-15 19:55:07,597 - INFO  MatchWord : 传入的关键词集合： Keyword: ['树', '1', '你好']
2023-03-15 19:55:07,597 - INFO  MatchWord : 添加关键词:你好 其出现次数：1
2023-03-15 19:55:07,597 - INFO  Run : 打开的文件路径:/home/ljy/LJY/code-dir/Home_care/File_Filter/In/Files/3.txt
2023-03-15 19:55:07,598 - INFO  MatchWord : 传入的关键词集合： Keyword: ['树', '1', '你好']
2023-03-15 19:55:07,598 - INFO  MatchWord : 添加关键词:树 其出现次数：1
2023-03-15 19:55:07,598 - INFO  InteractUser : 选择的疑似关键词为关键词 :dict_keys(['树', '1', '你好'])
2023-03-15 19:55:13,330 - INFO  InteractUser : 用户确定的单词集合是: []
2023-03-15 19:55:13,330 - INFO  Begin : 程序开始结束
