2023-03-31 17:51:45,280 - INFO  <module> : Kernel:logging开始运行...
2023-03-31 17:51:45,339 - INFO  Start_Work : Kernel:进入语音读入模块
2023-03-31 17:51:45,339 - INFO  Start_Work : Kernel:进入关键词读取模块
2023-03-31 17:51:45,339 - INFO  SetFile : 1.进行文件读取测试/home/ljy/LJY/code-dir/Home_care/Kernel/tmp/Files/test_1.txt
2023-03-31 17:51:45,339 - INFO  SetFile : 1.测试成功
2023-03-31 17:51:45,339 - INFO  SetFile : 1.导入后文件路径为/home/ljy/LJY/code-dir/Home_care/pkg/File_Filter/In/Files/test_1.txt
2023-03-31 17:51:45,339 - INFO  SetFile : 1.导入成功
2023-03-31 17:51:45,339 - INFO  SetFile : 1.进行文件读取测试/home/ljy/LJY/code-dir/Home_care/Kernel/tmp/Files/test_2.txt
2023-03-31 17:51:45,339 - INFO  SetFile : 1.测试成功
2023-03-31 17:51:45,339 - INFO  SetFile : 1.导入后文件路径为/home/ljy/LJY/code-dir/Home_care/pkg/File_Filter/In/Files/test_2.txt
2023-03-31 17:51:45,339 - INFO  SetFile : 1.导入成功
2023-03-31 17:51:45,340 - INFO  SetFile : 1.进行文件读取测试/home/ljy/LJY/code-dir/Home_care/Kernel/tmp/Files/test_3.txt
2023-03-31 17:51:45,340 - INFO  SetFile : 1.测试成功
2023-03-31 17:51:45,340 - INFO  SetFile : 1.导入后文件路径为/home/ljy/LJY/code-dir/Home_care/pkg/File_Filter/In/Files/test_3.txt
2023-03-31 17:51:45,340 - INFO  SetFile : 1.导入成功
2023-03-31 17:51:45,340 - INFO  KeyWordInit : 2.初始化的关键词为['吃饭', '洗澡', '音乐', '视频']
2023-03-31 17:51:45,340 - INFO  FileInit : 2.初始化的文件为['/home/ljy/LJY/code-dir/Home_care/pkg/File_Filter/In/Files/test_1.txt', '/home/ljy/LJY/code-dir/Home_care/pkg/File_Filter/In/Files/test_2.txt', '/home/ljy/LJY/code-dir/Home_care/pkg/File_Filter/In/Files/test_3.txt']
2023-03-31 17:51:45,340 - INFO  ParameterInvaild : 3.尝试进行参数检验
2023-03-31 17:51:45,340 - INFO  ParameterInvaild : 3.参数检验通过
2023-03-31 17:51:45,340 - INFO  MatchWord : 4.进行匹配的关键词集合： Keyword: ['吃饭', '洗澡', '音乐', '视频']
2023-03-31 17:51:45,340 - INFO  MatchWord : 4.匹配结束:结果如下{}
2023-03-31 17:51:45,340 - INFO  MatchWord : 4.进行匹配的关键词集合： Keyword: ['吃饭', '洗澡', '音乐', '视频']
2023-03-31 17:51:45,340 - INFO  MatchWord : 4.添加关键词:吃饭 其出现次数：1
2023-03-31 17:51:45,340 - INFO  MatchWord : 4.添加关键词:洗澡 其出现次数：1
2023-03-31 17:51:45,340 - INFO  MatchWord : 4.匹配结束:结果如下{'吃饭': 1, '洗澡': 1}
2023-03-31 17:51:45,340 - INFO  MatchWord : 4.进行匹配的关键词集合： Keyword: ['吃饭', '洗澡', '音乐', '视频']
